"movie","count ( _id )","latitude","longitude"
"Varisu","5","85.2557301","23.4559809"
"Varisu","2","87.5","26"
"Thunivu","4","79.37173036154906","10.9645549"
"Thunivu","29","77.710247","8.722388"
"Varisu","23","80.6185089","16.5087573"
"Thunivu","1","76.7176885","30.7041168"
"Thunivu","1","75.56805772253911","31.29201065"
"Varisu","1","6.874619","49.1835376"
"Varisu","1","80.66247852355892","7.877395849999999"
"Thunivu","1","-6.2602964","53.3498006"
"Varisu","4","77.77597856822051","9.4669895"
"Thunivu & Varisu","7","-118.242766","34.0536909"
"Thunivu & Varisu","2","79.3906033561226","12.2428673"
"Thunivu","4","130.2601491","-3.0616325"
"Varisu","15","80.1863809","15.9240905"
"Thunivu & Varisu","1","78.0436813","30.3255646"
"Varisu","2","82.2052321","26.7990707"
"Varisu","2","72.5797068","23.0216238"
"Thunivu","1","-1.9180234948012402","54.31536155"
"Thunivu","5","77.8309478","12.7328844"
"Thunivu & Varisu","4","78.6870296","10.804973"
"Thunivu & Varisu","9","-79.1053129","40.7395087"
"Thunivu","4","76.9193876","15.1433952"
"Varisu","22","80.859666","27.1303344"
"Thunivu","6","79.9839686","12.9647163"
"Thunivu & Varisu","1","80.5688069","16.4318209"
"Varisu","164","80.270186","13.0836939"
"Thunivu & Varisu","7","81.527344","16.5427689"
"Thunivu","1","77.492635","13.8306127"
"Varisu","5","-90.2915132","43.2233214"
"Thunivu & Varisu","1","-73.97817335537326","40.7601024"
"Thunivu & Varisu","1","-82.6881395","40.2253569"
"Varisu","10","85.1235252","25.6093239"
"Thunivu","6","79.83512262283737","13.77928955"
"Thunivu & Varisu","2","78.77085116013691","14.2012997"
"Varisu","2","79.51980961374048","18.9812967"
"Thunivu","1","80.1443190204823","12.95935475"
"Varisu","2","79.29838501460121","28.8680526"
"Varisu","1","76.4374208","32.0291804"
"Thunivu","2","-81.3790304","28.5421109"
"Thunivu","1","75.3390241","19.877263"
"Thunivu","1","-110.8735018","44.4839486"
"Thunivu","1","79.1643137","12.936069"
"Thunivu & Varisu","1","81.1348181","16.1817369"
"Thunivu","1","79.7634644","11.7564329"
"Thunivu","17","78.1602498","11.6612012"
"Varisu","2","77.166667","16.083333"
"Thunivu & Varisu","8","75.6741579","18.9068356"
"Thunivu & Varisu","18","74.2405329","16.7028412"
"Thunivu & Varisu","3","80.01534335527676","14.91098925"
"Varisu","3","80.8940083","17.6688019"
"Thunivu & Varisu","2","77.76822875372174","29.000652549999998"
"Thunivu & Varisu","1","73.8256708","15.5016339"
"Varisu","9","81.3732849","21.2120677"
"Thunivu","17","-79.1053129","40.7395087"
"Thunivu","1","77.1709729","31.1041526"
"Thunivu & Varisu","8","-82.9568899","36.429878"
"Thunivu","1","77.97340010370982","11.5330743"
"Thunivu & Varisu","8","77.2219388","28.6517178"
"Thunivu","1","77.48319215130235","19.09400875"
"Thunivu & Varisu","1","-75.4013315","38.6920451"
"Varisu","1","80.2277203","12.9117073"
"Thunivu & Varisu","11","79.15555061803596","13.1601048"
"Varisu","7","80.0093029","9.665093"
"Thunivu & Varisu","4","86.63272982626935","21.49308515"
"Thunivu & Varisu","1","83.91607719937166","18.32002205"
"Thunivu","5","-118.755997","36.7014631"
"Thunivu","3","55.36568","25.2410612"
"Thunivu & Varisu","4","74.8204443","34.0747444"
"Thunivu & Varisu","1","88.18732054821916","25.046841999999998"
"Thunivu & Varisu","2","77.0929933","22.3388828"
"Varisu","4","-110.8735018","44.4839486"
"Thunivu & Varisu","2","80.0472879","16.2389242"
"Thunivu","1","-72.3681785","44.5183092"
"Varisu","1","-123.2620435","44.5645659"
"Thunivu","1","-93.2432791","44.650051"
"Varisu","1","77.45529027323644","15.11965065"
"Thunivu & Varisu","1","1.8883335","46.603354"
"Varisu","1","75.1379848","15.3518378"
"Thunivu","33","78.0425373","15.8309251"
"Thunivu","34","77.2090057","28.6138954"
"Thunivu","2","76.41241428564258","9.5006651"
"Varisu","8","73.8544541","18.521428"
"Thunivu & Varisu","6","78.8216861","14.4752936"
"Thunivu & Varisu","3","85.8792","20.4686"
"Varisu","1","77.0679581","11.0600516"
"Thunivu","1","-122.3558473","37.7884969"
"Thunivu & Varisu","10","75.8681996","22.7203616"
"Thunivu","3","71.745261","22.3850051"
"Varisu","2","-122.849143","49.1913033"
"Thunivu & Varisu","1","76.9193876","15.1433952"
"Varisu","5","-86.000977","50.000678"
"Thunivu & Varisu","1","-93.5613292","41.3604966"
"Varisu","1","79.6700892","13.0839782"
"Thunivu","1","87.5","26"
"Thunivu","1","80.333333","17.5"
"Thunivu","1","78.16615283668403","11.284224850000001"
"Thunivu","46","79.0006410968549","12.7948109"
"Thunivu","1","55.3922644","25.3349528"
"Thunivu & Varisu","1","-110.8735018","44.4839486"
"Thunivu & Varisu","1","-80.9923144","37.7103957"
"Varisu","5","86.63272982626935","21.49308515"
"Thunivu & Varisu","1","-81.1423236","33.3226546"
"Thunivu & Varisu","1","74.00975207575615","15.4039033"
"Varisu","6","4.3221548","45.022172"
"Varisu","2","78.0436813","30.3255646"
"Thunivu","12","76.5120396","10.3528744"
"Thunivu","1","78.35602348202272","10.0858443"
"Thunivu","1","-91.5243615","42.2039609"
"Thunivu","3","77.345192","11.1017815"
"Varisu","1","77.401989","23.2584857"
"Varisu","1","81.685839","16.75414"
"Thunivu & Varisu","1","77.9898759","29.1539372"
"Varisu","1","74.1319229","14.8120931"
"Varisu","3","9.400138","33.8439408"
"Thunivu & Varisu","1","-122.4168664","37.6535403"
"Thunivu","1","81.71561488059287","16.99842865"
"Varisu","1","-93.2654692","44.9772995"
"Varisu","3","77.2219388","28.6517178"
"Thunivu & Varisu","2","72.5797068","23.0216238"
"Thunivu","9","79.07015554906167","12.22721295"
"Varisu","1","88.3251045","22.5736296"
"Varisu","7","77.083333","17.166667"
"Varisu","2","78.2206536","12.5188835"
"Varisu","1","-80.9923144","37.7103957"
"Thunivu","6","114.0285535386117","22.331829"
"Thunivu & Varisu","2","77.45529027323644","15.11965065"
"Thunivu & Varisu","1","81.58909665667748","16.63713765"
"Thunivu","8","80.859666","27.1303344"
"Thunivu & Varisu","3","81.526592","16.8102437"
"Varisu","2","-76.217705","43.106456"
"Varisu","3","79.0820556","21.1498134"
"Varisu","1","79.089691","30.0417376"
"Varisu","1","80.2164421","13.0872004"
"Thunivu & Varisu","1","83.4052196224888","18.1120819"
"Varisu","4","85.8394521","20.2602964"
"Varisu","25","-123.113952","49.2608724"
"Varisu","8","77.4290492","8.1880471"
"Thunivu & Varisu","1","112.4178015","-7.8344579"
"Thunivu & Varisu","1","79.3637892","12.9254734"
"Thunivu & Varisu","1","-97.0669292","32.7579739"
"Thunivu & Varisu","6","31.7389749","-0.3408299"
"Varisu","1","5.3686422","43.2258226"
"Thunivu","55","78.3665347","10.9094334"
"Thunivu & Varisu","2","75.9206361","14.4661266"
"Thunivu","2","77.3472673","11.1671878"
"Thunivu & Varisu","4","75.5004841","30.9293211"
"Thunivu & Varisu","13","79.1328042","18.4348122"
"Varisu","1","78.2045948","17.0671702"
"Thunivu","1","-82.3090307","37.7139892"
"Varisu","1","83.0076292","25.3356491"
"Varisu","13","73.7684549","26.8105777"
"Varisu","1","8.2319736","46.7985624"
"Thunivu & Varisu","39","77.590082","12.9767936"
"Varisu","2","85.3205817","27.708317"
"Thunivu & Varisu","2","77.8784563961865","9.5208936"
"Thunivu & Varisu","2","-4.2488787","55.8609825"
"Varisu","28","-115.148516","36.1672559"
"Thunivu & Varisu","1","-77.7278831","40.9699889"
"Thunivu","1","80.6116162","17.5456307"
"Varisu","2","-92.1657348","44.6991325"
"Thunivu","13","-96.7968559","32.7762719"
"Thunivu","1","79.4824392","11.535987"
"Thunivu","2","74.5411575","32.4935378"
"Thunivu","5","-3.2765753","54.7023545"
"Thunivu","1","139.636768","35.444991"
"Thunivu & Varisu","2","76.5955013","8.8879509"
"Thunivu & Varisu","1","-86.4958219","34.3181497"
"Thunivu & Varisu","3","76.2220763","30.700625"
"Thunivu & Varisu","3","74.1933745","32.1525312"
"Thunivu","16","2.3200410217200766","48.8588897"
"Thunivu","1","152.801147","-27.633551"
"Varisu","3","80.1549869218863","12.8422129"
"Thunivu & Varisu","1","74.0114543","15.5626483"
"Varisu","3","74.5411575","32.4935378"
"Varisu","1","81.7804732","17.0050454"
"Varisu","1","114.0285535386117","22.331829"
"Thunivu & Varisu","2","80.66247852355892","7.877395849999999"
"Thunivu","3","-122.330062","47.6038321"
"Thunivu","3","-115.148516","36.1672559"
"Thunivu & Varisu","2","80.2415402","13.0892193"
"Thunivu","1","81.58909665667748","16.63713765"
"Varisu","2","85.3250387","23.3700501"
"Varisu","1","74.57175729734101","20.58968735"
"Varisu","2","-81.4639835","27.7567667"
"Varisu","2","80.06080046754784","15.5075545"
"Varisu","1","79.67222017841891","11.41018075"
"Thunivu","8","-73.7812103","42.8631868"
"Varisu","1","-81.6936772","41.4996574"
"Varisu","2","79.3181777","11.7020294"
"Varisu","6","77.345192","11.1017815"
"Thunivu & Varisu","2","81.7804732","17.0050454"
"Thunivu & Varisu","3","-112.074141","33.4484367"
"Varisu","1","-75.291367","43.105495"
"Varisu","1","-100.8726618","37.9716898"
"Thunivu","21","83.3012842","17.7231276"
"Thunivu","1","2.2578915","48.8476096"
"Thunivu","1","77.00991258704545","10.67047305"
"Thunivu","12","76.6553609","12.3051828"
"Thunivu","1","87.3012875","22.34309"
"Thunivu & Varisu","1","78.4102882","17.4308362"
"Thunivu","1","75.1379848","15.3518378"
"Thunivu","4","86.63272982626935","21.49308515"
"Thunivu","3","77.401989","23.2584857"
"Thunivu","4","74.8580917","32.7185614"
"Thunivu","159","80.270186","13.0836939"
"Varisu","1","75.0356812","29.5389302"
"Thunivu","1","-77.7278831","40.9699889"
"Thunivu & Varisu","3","4.6667145","50.6402809"
"Thunivu","10","-123.113952","49.2608724"
"Varisu","40","75.7223521","14.5203896"
"Thunivu & Varisu","1","-97.001038","55.001251"
"Varisu","8","74.7870308","13.3519723"
"Varisu","1","82.58414558549191","17.32218765"
"Thunivu","8","112.4178015","-7.8344579"
"Thunivu","2","80.66247852355892","7.877395849999999"
"Thunivu & Varisu","1","76.3872297","15.266493"
"Thunivu","11","80.24099949725411","13.035944350000001"
"Thunivu","7","78.77085116013691","14.2012997"
"Thunivu","1","77.26537576524208","11.5523741"
"Thunivu & Varisu","1","79.0820556","21.1498134"
"Varisu","3","76.5955013","8.8879509"
"Thunivu & Varisu","1","76.9653837","11.0173318"
"Thunivu","4","-92.1657348","44.6991325"
"Thunivu","1","-106.650985","35.0841034"
"Thunivu & Varisu","2","82.5391297","25.1126399"
"Thunivu","1","73.77641686826863","18.567412500000003"
"Thunivu & Varisu","4","76.4374208","32.0291804"
"Thunivu & Varisu","19","139.2394179","36.5748441"
"Varisu","3","79.9873763","14.4493717"
"Thunivu & Varisu","1","72.9701779","19.1943294"
"Varisu","4","82.18422479792069","17.1213126"
"Varisu","36","-96.7968559","32.7762719"
"Varisu","9","-79.3839347","43.6534817"
"Thunivu","20","-0.1276474","51.5073219"
"Thunivu","1","2.2500524","45.9758392"
"Varisu","1","77.99506591814236","20.05331095"
"Varisu","1","88.0632655","22.028124"
"Thunivu & Varisu","2","77.7134377","13.2483502"
"Varisu","1","77.9693256","10.365646"
"Thunivu","1","-134.419734","58.3019496"
"Thunivu","3","8.2319736","46.7985624"
"Thunivu & Varisu","4","86.9163367","27.985688"
"Thunivu & Varisu","1","-106.650985","35.0841034"
"Thunivu","1","14.5208584","59.6749712"
"Thunivu & Varisu","10","77.1565959","28.6600584"
"Varisu","2","78.39660898429065","19.091520950000003"
"Varisu","1","-97.0669292","32.7579739"
"Thunivu & Varisu","3","80.0093029","9.665093"
"Thunivu & Varisu","2","78.1452745","8.8052602"
"Varisu","9","78.08485454572889","10.9301522"
"Varisu","1","76.770421","30.3843674"
"Varisu","4","74.3141829","31.5656822"
"Thunivu","3","2.4258354","48.9351403"
"Varisu","2","83.18283163264533","17.6811126"
"Thunivu","4","76.4374208","32.0291804"
"Varisu","3","79.8375761","10.91571"
"Varisu","33","-102.4107493","34.2331373"
"Varisu","11","-121.6846349","37.2333253"
"Thunivu & Varisu","11","139.7594549","35.6828387"
"Varisu","5","83.91607719937166","18.32002205"
"Varisu","10","-84.3902644","33.7489924"
"Thunivu","11","78.19304301026716","12.09680475"
"Thunivu & Varisu","1","77.3472673","11.1671878"
"Thunivu","13","139.2394179","36.5748441"
"Thunivu & Varisu","3","73.8129178","15.398403"
"Varisu","7","76.6553609","12.3051828"
"Thunivu","7","-84.6824346","43.6211955"
"Varisu","6","-118.242766","34.0536909"
"Thunivu","2","74.3141829","31.5656822"
"Varisu","1","83.66789800572718","26.82890575"
"Varisu","40","-100.445882","39.7837304"
"Varisu","1","77.5483803","13.0464531"
"Thunivu & Varisu","5","77.4329817","30.9831649"
"Thunivu & Varisu","1","152.801147","-27.633551"
"Varisu","1","89.2094419","23.1665256"
"Thunivu","10","78.6677428","22.3511148"
"Varisu","4","78.41517103591221","15.52481495"
"Varisu","33","76.5120396","10.3528744"
"Thunivu","1","80.0093029","9.665093"
"Varisu","1","89.2852741","22.9372087"
"Thunivu & Varisu","1","73.7902364","20.0112475"
"Thunivu & Varisu","32","78.0425373","15.8309251"
"Thunivu","7","74.0855134","15.3004543"
"Varisu","5","81.527344","16.5427689"
"Thunivu & Varisu","7","75.1379848","15.3518378"
"Thunivu","19","78.1140983","9.9261153"
"Varisu","1","80.2415402","13.0892193"
"Thunivu","1","89.2852741","22.9372087"
"Varisu","10","8.7876653","61.1529386"
"Thunivu & Varisu","8","25.9209164","63.2467777"
"Thunivu","2","8.7876653","61.1529386"
"Thunivu","1","79.8541134","6.9387469"
"Thunivu","1","-1.3756411","42.8527538"
"Thunivu","1","-1.4684488","52.5246182"
"Varisu","1","88.5921038","24.3715513"
"Varisu","18","77.710247","8.722388"
"Varisu","1","73.7902364","20.0112475"
"Thunivu & Varisu","1","-10.58865","6.43544"
"Thunivu","2","-2.602170923094835","51.44973075"
"Thunivu & Varisu","2","-3.2765753","54.7023545"
"Varisu","1","73.08048927121621","19.362530800000002"
"Thunivu","1","76.64553257390992","9.6287383"
"Varisu","4","-10.58865","6.43544"
"Thunivu","1","77.4120356","28.6711527"
"Thunivu","3","-74.047455","40.7215682"
"Thunivu & Varisu","1","139.636768","35.444991"
"Varisu","2","-95.2414104","38.7311123"
"Varisu","2","77.3415747","11.127834"
"Thunivu","3","-73.9497211","40.6526006"
"Thunivu & Varisu","1","80.8940083","17.6688019"
"Thunivu & Varisu","6","76.947551","8.4882267"
"Varisu","11","75.5004841","30.9293211"
"Thunivu & Varisu","1","8.4107741","44.1966598"
"Varisu","81","77.590082","12.9767936"
"Thunivu","4","79.15555061803596","13.1601048"
"Varisu","1","23.21964608602439","58.5959044"
"Thunivu & Varisu","2","78.166667","27.833333"
"Varisu","1","-82.3090307","37.7139892"
"Thunivu","6","-122.419906","37.7790262"
"Thunivu & Varisu","1","78.6830614","10.8219673"
"Thunivu & Varisu","1","86.60673245386945","24.4766423"
"Thunivu & Varisu","2","9.937216","51.5323423"
"Varisu","6","78.19304301026716","12.09680475"
"Thunivu & Varisu","2","-134.419734","58.3019496"
"Thunivu & Varisu","13","77.710247","8.722388"
"Thunivu","1","83.18283163264533","17.6811126"
"Varisu","1","78.33514979249873","10.519912649999998"
"Varisu","1","4.69861081683757","52.3003935"
"Thunivu","1","-117.1627728","32.7174202"
"Thunivu & Varisu","8","81.08045423126018","17.015219000000002"
"Thunivu","6","80.2270781","13.0427322"
"Thunivu","19","4.3221548","45.022172"
"Thunivu","12","84.6897321","20.5431241"
"Thunivu","1","80.2164421","13.0872004"
"Thunivu","10","80.4541588","16.2915189"
"Thunivu & Varisu","4","77.5340719","23.8143419"
"Thunivu & Varisu","3","-81.3790304","28.5421109"
"Thunivu","6","78.54855180269425","14.752265900000001"
"Thunivu & Varisu","38","74.8580917","32.7185614"
"Varisu","2","-78.4927721","37.1232245"
"Thunivu","1","77.99423669348936","20.053858249999998"
"Thunivu & Varisu","3","-122.1598465","37.4443293"
"Varisu","1","77.1709729","31.1041526"
"Varisu","2","79.07015554906167","12.22721295"
"Thunivu","7","-84.3902644","33.7489924"
"Thunivu & Varisu","7","85.1235252","25.6093239"
"Varisu","27","139.7594549","35.6828387"
"Thunivu & Varisu","42","80.4541588","16.2915189"
"Thunivu","19","79.80694879844232","10.91564885"
"Thunivu & Varisu","1","-93.2654692","44.9772995"
"Thunivu & Varisu","8","-123.033121","44.9391565"
"Varisu","5","31.7389749","-0.3408299"
"Varisu","1","80.1842767","13.1115392"
"Thunivu & Varisu","6","79.83512262283737","13.77928955"
"Thunivu & Varisu","2","77.00270014657752","28.42826235"
"Thunivu & Varisu","1","81.685839","16.75414"
"Thunivu & Varisu","1","75.3996731","14.7874825"
"Thunivu & Varisu","3","139.374753","35.4342935"
"Varisu","1","-84.2809332","30.4380832"
"Varisu","8","-122.330062","47.6038321"
"Thunivu & Varisu","1","6.6441878","49.7596208"
"Varisu","26","-0.1276474","51.5073219"
"Varisu","1","78.05427595640626","8.5024607"
"Thunivu","1","76.3872297","15.266493"
"Varisu","1","75.8535154380713","30.135825699999998"
"Thunivu & Varisu","1","79.6700892","13.0839782"
"Thunivu","20","77.4290492","8.1880471"
"Thunivu","1","80.1842767","13.1115392"
"Thunivu","3","90.389015","23.7644025"
"Thunivu & Varisu","29","78.1140983","9.9261153"
"Thunivu & Varisu","18","78.3665347","10.9094334"
"Thunivu & Varisu","2","77.5131354","13.6134495"
"Varisu","1","77.5467414","8.0879641"
"Varisu","4","77.5499338","8.079252"
"Varisu","1","-75.4013315","38.6920451"
"Varisu","1","74.7486779","13.333688"
"Thunivu & Varisu","4","73.7684549","26.8105777"
"Varisu","1","-122.2608044","38.1749179"
"Thunivu & Varisu","14","84.6897321","20.5431241"
"Thunivu & Varisu","1","-83.0373389","42.3167397"
"Thunivu & Varisu","5","-2.2451148","53.4794892"
"Thunivu & Varisu","1","74.87871982597991","16.132617449999998"
"Varisu","32","78.0425373","15.8309251"
"Thunivu & Varisu","1","79.089691","30.0417376"
"Varisu","1","77.7302895","24.576189"
"Thunivu & Varisu","3","80.9346001","26.8381"
"Thunivu","3","-83.9610538","40.9481079"
"Thunivu & Varisu","1","-73.9497211","40.6526006"
"Thunivu & Varisu","1","77.5499338","8.079252"
"Thunivu & Varisu","2","73.8544541","18.521428"
"Thunivu","5","-4.8379791","39.3260685"
"Varisu","1","130.2601491","-3.0616325"
"Thunivu","4","86.9163367","27.985688"
"Varisu","5","76.64553257390992","9.6287383"
"Thunivu & Varisu","14","-0.1276474","51.5073219"
"Varisu","7","80.9346001","26.8381"
"Thunivu & Varisu","1","7.8271156","44.3506606"
"Thunivu","1","87.2928506179686","24.74334305"
"Thunivu","16","76.947551","8.4882267"
"Thunivu","4","73.7684549","26.8105777"
"Varisu","2","77.51826437085998","9.403158399999999"
"Thunivu & Varisu","1","77.99423669348936","20.053858249999998"
"Thunivu","1","-122.849143","49.1913033"
"Thunivu & Varisu","1","-92.1657348","44.6991325"
"Thunivu & Varisu","13","82.18422479792069","17.1213126"
"Varisu","1","75.5364701","11.7021978"
"Thunivu","16","77.2219388","28.6517178"
"Varisu","1","-84.0571529","38.7761815"
"Thunivu","4","-80.9923144","37.7103957"
"Varisu","21","77.1565959","28.6600584"
"Varisu","28","88.3638815","22.5726723"
"Thunivu & Varisu","3","87.6855882","22.9964948"
"Thunivu & Varisu","2","-87.6244212","41.8755616"
"Thunivu & Varisu","2","78.52186532340352","14.66318725"
"Thunivu & Varisu","1","-118.8375937","34.1705609"
"Thunivu","33","77.5792694","8.7012203"
"Thunivu","1","-115.173414","36.1150858"
"Varisu","27","78.1140983","9.9261153"
"Thunivu & Varisu","1","73.8641703","15.3875752"
"Thunivu","1","78.0436813","30.3255646"
"Varisu","1","77.47420048524822","9.969664300000002"
"Varisu","2","79.7634644","11.7564329"
"Thunivu & Varisu","1","-91.7495959","44.0938521"
"Varisu","1","79.1309695","12.9071753"
"Thunivu & Varisu","3","80.1026704","13.1194809"
"Thunivu","3","-77.36195598496681","25.029422"
"Thunivu & Varisu","1","76.9680231","11.0170784"
"Varisu","15","1.8883335","46.603354"
"Varisu","4","-77.03655315","38.897699700000004"
"Thunivu & Varisu","8","-79.3839347","43.6534817"
"Thunivu","1","126.9782914","37.5666791"
"Varisu","3","6.6441878","49.7596208"
"Varisu","1","88.3544854","22.5666449"
"Thunivu","1","80.286806","13.088904"
"Thunivu","23","80.1863809","15.9240905"
"Varisu","5","77.9242636919308","13.79256415"
"Thunivu","5","78.1452745","8.8052602"
"Thunivu & Varisu","2","75.6967919","16.1853166"
"Thunivu & Varisu","6","90.389015","23.7644025"
"Thunivu","3","85.3250387","23.3700501"
"Varisu","1","78.6999168287325","12.7929067"
"Thunivu","4","75.6741579","18.9068356"
"Varisu","1","73.41650554658088","25.6051226"
"Thunivu & Varisu","6","79.9839686","12.9647163"
"Varisu","7","130.6264811","32.9162863"
"Thunivu","10","88.3638815","22.5726723"
"Varisu","1","150.8145651","-34.0414308"
"Varisu","1","-73.7812103","42.8631868"
"Thunivu","1","78.08651236944388","9.8696551"
"Thunivu & Varisu","1","80.2577791","13.00645"
"Thunivu","1","80.8940083","17.6688019"
"Thunivu & Varisu","6","130.6264811","32.9162863"
"Thunivu & Varisu","1","77.401989","23.2584857"
"Thunivu","4","-122.036349","37.3688301"
"Thunivu & Varisu","42","77.2090057","28.6138954"
"Varisu","2","85.5208617","25.193859"
"Thunivu","3","2.7537863","48.6443057"
"Thunivu & Varisu","1","77.99506591814236","20.05331095"
"Varisu","1","75.7175387","16.8269911"
"Thunivu & Varisu","1","76.1547421","15.3484144"
"Varisu","2","80.05106225488868","13.0768552"
"Thunivu","1","74.1319229","14.8120931"
"Varisu","7","77.5081299470512","29.9880774"
"Varisu","1","-115.54896378664561","35.1456319"
